epoch,step,train_loss,val_loss
0,24,0.6900734901428223,
0,49,0.6712680459022522,
0,74,0.9541752934455872,
0,99,0.6943522691726685,
0,124,0.7876585721969604,
0,149,0.665673553943634,
0,155,,0.6638361811637878
1,174,0.6750707626342773,
1,199,0.6948369145393372,
1,224,0.6983152031898499,
1,249,0.7237091660499573,
1,274,0.6822524070739746,
1,299,0.7209790945053101,
1,311,,0.6634597778320312
2,324,0.6888916492462158,
2,349,0.5811401009559631,
2,374,0.6687061190605164,
2,399,0.6743553876876831,
2,424,0.6421840786933899,
2,449,0.663898766040802,
2,467,,0.6648275256156921
3,474,0.6616460680961609,
3,499,0.7053754925727844,
3,524,0.6230745911598206,
3,549,0.7785559892654419,
3,574,0.664087176322937,
3,599,0.6864335536956787,
3,623,,0.6629356741905212
4,624,0.7223351001739502,
4,649,0.5798661708831787,
4,674,0.721689760684967,
4,699,0.6645408868789673,
4,724,0.7535817623138428,
4,749,0.7522698044776917,
4,774,0.6863064765930176,
4,779,,0.7002836465835571
5,799,0.6622073650360107,
5,824,0.6853170394897461,
5,849,0.6623667478561401,
5,874,0.6931419968605042,
5,899,0.6859449148178101,
5,924,0.6862296462059021,
5,935,,0.6706971526145935
6,949,0.6414843797683716,
6,974,0.7086942195892334,
6,999,0.7213796973228455,
6,1024,0.6880202293395996,
6,1049,0.5997012257575989,
6,1074,0.7066757082939148,
6,1091,,0.6918261051177979
7,1099,0.7022415399551392,
7,1124,0.6441617012023926,
7,1149,0.7167142629623413,
7,1174,0.687587559223175,
7,1199,0.6965460181236267,
7,1224,0.6949541568756104,
7,1247,,0.663404107093811
8,1249,0.6865255236625671,
8,1274,0.6604548096656799,
8,1299,0.7199692130088806,
8,1324,0.7177873253822327,
8,1349,0.744046151638031,
8,1374,0.639297366142273,
8,1399,0.7193549871444702,
8,1403,,0.6827011108398438
