epoch,step,train_loss,val_acc,val_loss,val_mcc
0,24,0.6889089941978455,,,
0,49,0.6811480522155762,,,
0,74,0.6891420483589172,,,
0,99,0.6522664427757263,,,
0,124,0.6454682946205139,,,
0,149,0.6849262714385986,,,
0,174,0.689119815826416,,,
0,199,0.5893998742103577,,,
0,207,,0.6223278045654297,0.6630077362060547,0.18637967109680176
1,224,0.7005941271781921,,,
1,249,0.6275103688240051,,,
1,274,0.6798305511474609,,,
1,299,0.7754164338111877,,,
1,324,0.7008788585662842,,,
1,349,0.6290967464447021,,,
1,374,0.7048625349998474,,,
1,399,0.6973786950111389,,,
1,415,,0.6223278045654297,0.6697723865509033,0.18637967109680176
2,424,0.6528513431549072,,,
2,449,0.6950097680091858,,,
2,474,0.7138825058937073,,,
2,499,0.6791368126869202,,,
2,524,0.5896055102348328,,,
2,549,0.6550487875938416,,,
2,574,0.6782237887382507,,,
2,599,0.7040448188781738,,,
2,623,,0.6223278045654297,0.6694236397743225,0.18637967109680176
3,624,0.6534909605979919,,,
3,649,0.6987426280975342,,,
3,674,0.6775558590888977,,,
3,699,0.6274645328521729,,,
3,724,0.7072983384132385,,,
3,749,0.6802232265472412,,,
3,774,0.6951538920402527,,,
3,799,0.8069799542427063,,,
3,824,0.7282918095588684,,,
3,831,,0.6223278045654297,0.6627411246299744,0.18637967109680176
4,849,0.6468871235847473,,,
4,874,0.7175891399383545,,,
4,899,0.6781408786773682,,,
4,924,0.7872829437255859,,,
4,949,0.690056324005127,,,
4,974,0.6555817723274231,,,
4,999,0.6452824473381042,,,
4,1024,0.7257466912269592,,,
4,1039,,0.6211401224136353,0.6762298941612244,0.14613042771816254
5,1049,0.6675324440002441,,,
5,1074,0.6874637603759766,,,
5,1099,0.6902273297309875,,,
5,1124,0.7126922607421875,,,
5,1149,0.6468257904052734,,,
5,1174,0.6108445525169373,,,
5,1199,0.6940584778785706,,,
5,1224,0.5558695793151855,,,
5,1247,,0.6425178050994873,0.6401500701904297,0.2242724448442459
6,1249,0.6231814026832581,,,
6,1274,0.6868005394935608,,,
6,1299,0.6063728928565979,,,
6,1324,0.6078110933303833,,,
6,1349,0.5841427445411682,,,
6,1374,0.574400007724762,,,
6,1399,0.5228672623634338,,,
6,1424,0.5352775454521179,,,
6,1449,0.5759665966033936,,,
6,1455,,0.6555819511413574,0.6432004570960999,0.378493070602417
7,1474,0.5647309422492981,,,
7,1499,0.4149530231952667,,,
7,1524,0.47056326270103455,,,
7,1549,0.6226634383201599,,,
7,1574,0.40926334261894226,,,
7,1599,0.47818723320961,,,
7,1624,0.8553673624992371,,,
7,1649,0.47438812255859375,,,
7,1663,,0.6912114024162292,0.6183789372444153,0.4230411648750305
8,1674,0.41358324885368347,,,
8,1699,0.3850967586040497,,,
8,1724,0.48711732029914856,,,
8,1749,0.371134877204895,,,
8,1774,0.47846710681915283,,,
8,1799,0.33881500363349915,,,
8,1824,0.29695188999176025,,,
8,1849,0.4435003697872162,,,
8,1871,,0.7565320730209351,0.5449432134628296,0.5325281023979187
9,1874,0.20496761798858643,,,
9,1899,0.3536688983440399,,,
9,1924,0.5752582550048828,,,
9,1949,0.23982156813144684,,,
9,1974,0.3324194550514221,,,
9,1999,0.7231971621513367,,,
9,2024,0.40755119919776917,,,
9,2049,0.313814640045166,,,
9,2074,0.20367121696472168,,,
9,2079,,0.7826603055000305,0.5073985457420349,0.575593113899231
10,2099,0.803591251373291,,,
10,2124,0.28494489192962646,,,
10,2149,0.38993123173713684,,,
10,2174,0.31306591629981995,,,
10,2199,0.1388435959815979,,,
10,2224,0.09635209292173386,,,
10,2249,0.7886667251586914,,,
10,2274,0.42380857467651367,,,
10,2287,,0.8289785981178284,0.36792153120040894,0.6362344026565552
11,2299,0.2209322303533554,,,
11,2324,0.21749579906463623,,,
11,2349,0.24767661094665527,,,
11,2374,0.21160687506198883,,,
11,2399,0.5347288250923157,,,
11,2424,0.09102144092321396,,,
11,2449,0.2653122842311859,,,
11,2474,0.1321323662996292,,,
11,2495,,0.8289785981178284,0.4055507779121399,0.650640070438385
12,2499,0.06490010023117065,,,
12,2524,0.04297814145684242,,,
12,2549,0.25860360264778137,,,
12,2574,0.3616058826446533,,,
12,2599,0.06400037556886673,,,
12,2624,0.4664439857006073,,,
12,2649,0.5960387587547302,,,
12,2674,0.02911675162613392,,,
12,2699,0.1968703418970108,,,
12,2703,,0.8586698174476624,0.35320815443992615,0.6923074722290039
13,2724,0.1876603215932846,,,
13,2749,0.011913244612514973,,,
13,2774,0.18879832327365875,,,
13,2799,0.20976214110851288,,,
13,2824,0.05075365677475929,,,
13,2849,0.3073287606239319,,,
13,2874,0.4532746374607086,,,
13,2899,0.11576924473047256,,,
13,2911,,0.834916889667511,0.3901728093624115,0.6420459151268005
14,2924,0.012286300770938396,,,
14,2949,0.15190307796001434,,,
14,2974,0.09698468446731567,,,
14,2999,0.00983974989503622,,,
14,3024,0.04002794995903969,,,
14,3049,0.01122048869729042,,,
14,3074,0.09183307737112045,,,
14,3099,0.24066539108753204,,,
14,3119,,0.8004750609397888,0.5753925442695618,0.5979697704315186
15,3124,0.19959519803524017,,,
15,3149,0.15694065392017365,,,
15,3174,0.2045987993478775,,,
15,3199,0.009944003075361252,,,
15,3224,0.08295281231403351,,,
15,3249,0.2654772102832794,,,
15,3274,0.13047514855861664,,,
15,3299,0.2511730492115021,,,
15,3324,0.09727189689874649,,,
15,3327,,0.8444180488586426,0.4197498857975006,0.6533900499343872
16,3349,0.05928795039653778,,,
16,3374,0.08306793868541718,,,
16,3399,0.014446384273469448,,,
16,3424,0.04730543494224548,,,
16,3449,0.2425413578748703,,,
16,3474,0.02264532633125782,,,
16,3499,0.032553330063819885,,,
16,3524,0.1116006001830101,,,
16,3535,,0.8408551216125488,0.45704567432403564,0.6336938738822937
17,3549,0.17166875302791595,,,
17,3574,0.2178155779838562,,,
17,3599,0.03019685298204422,,,
17,3624,0.04369737580418587,,,
