epoch,step,train_loss,val_loss
0,24,0.8099851608276367,
0,49,0.7008445262908936,
0,74,0.689298152923584,
0,99,0.6454781889915466,
0,124,0.7326204776763916,
0,149,0.7124488353729248,
0,174,0.6475626230239868,
0,199,0.6145128607749939,
0,207,,0.6688982248306274
1,224,0.6588559150695801,
1,249,0.6832664608955383,
1,274,0.6462427973747253,
1,299,0.6799113154411316,
1,324,0.6810548305511475,
1,349,0.7350243926048279,
1,374,0.6835760474205017,
1,399,0.8040940165519714,
1,415,,0.6673148274421692
2,424,0.6562173366546631,
2,449,0.7347795963287354,
2,474,0.6308953166007996,
2,499,0.6795194745063782,
2,524,0.6322240233421326,
2,549,0.7037854194641113,
2,574,0.6640945076942444,
2,599,0.7068700790405273,
2,623,,0.6718555092811584
3,624,0.680677592754364,
3,649,0.784018337726593,
3,674,0.6999408602714539,
3,699,0.6796278357505798,
3,724,0.6597673892974854,
3,749,0.7101750373840332,
3,774,0.699080765247345,
3,799,0.6389549374580383,
3,824,0.6807697415351868,
3,831,,0.6701616644859314
4,849,0.6564047932624817,
4,874,0.6841904520988464,
4,899,0.6705465912818909,
4,924,0.6589345335960388,
4,949,0.6803013682365417,
4,974,0.6793344020843506,
4,999,0.6288847327232361,
4,1024,0.6467220187187195,
4,1039,,0.6658915877342224
5,1049,0.6792455315589905,
5,1074,0.7249202132225037,
5,1099,0.7043099403381348,
5,1124,0.6819210052490234,
5,1149,0.6696149706840515,
5,1174,0.6680578589439392,
5,1199,0.6625930070877075,
5,1224,0.6497010588645935,
5,1247,,0.6631878614425659
6,1249,0.7177598476409912,
6,1274,0.715846598148346,
6,1299,0.6795729994773865,
6,1324,0.7311500906944275,
6,1349,0.653520405292511,
6,1374,0.6511604189872742,
6,1399,0.6963054537773132,
6,1424,0.6841297149658203,
6,1449,0.6814181804656982,
6,1455,,0.6723229885101318
7,1474,0.7592670321464539,
7,1499,0.6792100071907043,
7,1524,0.6632691025733948,
7,1549,0.6818423867225647,
7,1574,0.6394634246826172,
7,1599,0.6792368292808533,
7,1624,0.8159454464912415,
7,1649,0.6808612942695618,
7,1663,,0.6729706525802612
8,1674,0.6818400025367737,
8,1699,0.7045178413391113,
8,1724,0.654626727104187,
8,1749,0.6795129179954529,
8,1774,0.7678890228271484,
8,1799,0.7065381407737732,
8,1824,0.6640846133232117,
8,1849,0.6775951385498047,
8,1871,,0.6715550422668457
9,1874,0.7207570672035217,
9,1899,0.6807225346565247,
9,1924,0.7760391235351562,
9,1949,0.7022135853767395,
9,1974,0.6389397382736206,
9,1999,0.6813762784004211,
9,2024,0.7074683308601379,
9,2049,0.6341902613639832,
9,2074,0.6980290412902832,
9,2079,,0.672342836856842
10,2099,0.7194706797599792,
10,2124,0.7072100043296814,
10,2149,0.7025337219238281,
10,2174,0.6179788112640381,
10,2199,0.6993808150291443,
10,2224,0.7722952961921692,
10,2249,0.6513659954071045,
10,2274,0.668302059173584,
10,2287,,0.6758989095687866
11,2299,0.6818645000457764,
11,2324,0.6827747225761414,
11,2349,0.7028048038482666,
11,2374,0.7260618805885315,
11,2399,0.7007480263710022,
11,2424,0.7639158368110657,
11,2449,0.7015254497528076,
11,2474,0.6792306303977966,
11,2495,,0.6672767996788025
12,2499,0.7292856574058533,
12,2524,0.7542712092399597,
12,2549,0.6565738320350647,
12,2574,0.6608909368515015,
12,2599,0.7024944424629211,
12,2624,0.7032280564308167,
12,2649,0.6263124346733093,
12,2674,0.7036035060882568,
12,2699,0.6996414065361023,
12,2703,,0.6718220114707947
13,2724,0.6662809252738953,
13,2749,0.6569174528121948,
13,2774,0.6361706256866455,
13,2799,0.6809776425361633,
13,2824,0.6100090146064758,
13,2849,0.7050573825836182,
13,2874,0.679286539554596,
13,2899,0.6387953162193298,
13,2911,,0.6688467264175415
14,2924,0.6387821435928345,
14,2949,0.628872811794281,
14,2974,0.7076306343078613,
14,2999,0.679194450378418,
14,3024,0.7970004081726074,
14,3049,0.6812441349029541,
14,3074,0.6805115342140198,
14,3099,0.7037715911865234,
14,3119,,0.6718733906745911
15,3124,0.6803343892097473,
15,3149,0.6294799447059631,
15,3174,0.651786208152771,
15,3199,0.6792514324188232,
15,3224,0.647627055644989,
15,3249,0.7367731928825378,
15,3274,0.6795427799224854,
15,3299,0.7541372776031494,
15,3324,0.6429658532142639,
15,3327,,0.6720671653747559
