epoch,step,train_loss,val_acc,val_loss,val_mcc
0,24,0.5755499601364136,,,
0,49,0.2969088852405548,,,
0,74,0.3587266206741333,,,
0,77,,0.8408551216125488,0.35206139087677,0.6488616466522217
1,99,0.18369045853614807,,,
1,124,0.15307922661304474,,,
1,149,0.15621045231819153,,,
1,155,,0.8432304263114929,0.3422495722770691,0.6713549494743347
2,174,0.03423402085900307,,,
2,199,0.045140139758586884,,,
2,224,0.11984466761350632,,,
2,233,,0.8420427441596985,0.38823428750038147,0.6702497601509094
3,249,0.01908552087843418,,,
3,274,0.015886062756180763,,,
3,299,0.1334446221590042,,,
3,311,,0.8420427441596985,0.48521408438682556,0.6492058038711548
4,324,0.13226300477981567,,,
4,349,0.016117004677653313,,,
4,374,0.11278031766414642,,,
4,389,,0.8503562808036804,0.49698030948638916,0.6839480996131897
5,399,0.01292194053530693,,,
5,424,0.031067274510860443,,,
5,449,0.06654559820890427,,,
5,467,,0.834916889667511,0.5460968017578125,0.6918864250183105
6,474,0.04608479514718056,,,
6,499,0.02982589602470398,,,
6,524,0.008800110779702663,,,
6,545,,0.8586698174476624,0.5083202719688416,0.707180917263031
7,549,0.008215857669711113,,,
7,574,0.008026312105357647,,,
7,599,0.007939543575048447,,,
7,623,,0.8467933535575867,0.578738272190094,0.6733257174491882
8,624,0.005631139036267996,,,
8,649,0.004988447297364473,,,
8,674,0.005323570687323809,,,
8,699,0.004429972730576992,,,
8,701,,0.8444180488586426,0.5999504327774048,0.6720773577690125
9,724,0.004208160564303398,,,
9,749,0.003917721100151539,,,
9,774,0.0037580537609755993,,,
9,779,,0.8527315855026245,0.6100154519081116,0.6852765083312988
10,799,0.0036683969665318727,,,
10,824,0.003555058501660824,,,
10,849,0.003290874417871237,,,
10,857,,0.853919267654419,0.6294063925743103,0.686201274394989
11,874,0.0032327999360859394,,,
11,899,0.0030453321523964405,,,
11,924,0.0030760401859879494,,,
11,935,,0.8527315855026245,0.6455836892127991,0.6840916275978088
